Strike 1,Strike 2,Strike 3,net_cost,max_profit,max_loss
4500,4778.5,5057.3,40176.25,-12326.25,40176.25
4500,4778.5,5378.5,23032.260000000002,4817.739999999998,23032.260000000002
4500,4778.5,5657.3,9206.13630000001,18643.86369999999,9206.13630000001
4500,4778.5,5957.3,20511.085,7338.915000000001,20511.085
4500,4778.5,6178.5,-10282.949838000004,38132.949838,-10282.949838000004
4500,4778.5,6357.3,-11054.026,38904.026,-11054.026
4500,5057.3,5378.5,36913.68,18816.320000000014,36913.68
4500,5057.3,5657.3,23087.556300000007,32642.443700000007,23087.556300000007
4500,5057.3,5957.3,34392.505,21337.495000000017,34392.505
4500,5057.3,6178.5,3598.470161999996,52131.52983800002,3598.470161999996
4500,5057.3,6357.3,2827.394,52902.606000000014,2827.394
4500,5378.5,5657.3,87537.00630000001,312.9936999999918,87537.00630000001
4500,5378.5,5957.3,98841.955,-10991.955000000002,98841.955
4500,5378.5,6178.5,68047.920162,19802.079838000005,68047.920162
4500,5378.5,6357.3,67276.844,20573.156000000003,67276.844
4500,5657.3,5957.3,89918.185,25811.815000000017,89918.185
4500,5657.3,6178.5,59124.150162,56605.84983800002,59124.150162
4500,5657.3,6357.3,58353.074,57376.926000000014,58353.074
4500,5957.3,6178.5,81929.340162,63800.659838000036,81929.340162
4500,5957.3,6357.3,81158.264,64571.73600000003,81158.264
4500,6178.5,6357.3,97022.744,70827.256,97022.744
4778.5,5057.3,5378.5,20408.051509999994,7471.948490000024,20408.051509999994
4778.5,5057.3,5657.3,6581.927810000002,21298.072190000017,6581.927810000002
4778.5,5057.3,5957.3,17886.876509999995,9993.123490000024,17886.876509999995
4778.5,5057.3,6178.5,-12907.158328000012,40787.158328000034,-12907.158328000012
4778.5,5057.3,6357.3,-13678.234490000008,41558.234490000024,-13678.234490000008
4778.5,5378.5,5657.3,71031.37781,-11031.377810000005,71031.37781
4778.5,5378.5,5957.3,82336.32651,-22336.32651,82336.32651
4778.5,5378.5,6178.5,51542.29167199999,8457.708328000008,51542.29167199999
4778.5,5378.5,6357.3,50771.215509999995,9228.784490000005,50771.215509999995
4778.5,5657.3,5957.3,73412.55651,14467.44349000002,73412.55651
4778.5,5657.3,6178.5,42618.52167199999,45261.47832800003,42618.52167199999
4778.5,5657.3,6357.3,41847.44550999999,46032.554490000024,41847.44550999999
4778.5,5957.3,6178.5,65423.71167199999,52456.288328000024,65423.71167199999
4778.5,5957.3,6357.3,64652.63550999999,53227.36449000002,64652.63550999999
4778.5,6178.5,6357.3,80517.11551,59482.88449,80517.11551
5057.3,5378.5,5657.3,43164.32630000001,-11044.326300000026,43164.32630000001
5057.3,5378.5,5957.3,54469.275,-22349.27500000002,54469.275
5057.3,5378.5,6178.5,23675.240161999995,8444.759837999987,23675.240161999995
5057.3,5378.5,6357.3,22904.164,9215.835999999981,22904.164
5057.3,5657.3,5957.3,45545.505,14454.495000000003,45545.505
5057.3,5657.3,6178.5,14751.470161999994,45248.529838,14751.470161999994
5057.3,5657.3,6357.3,13980.394,46019.606,13980.394
5057.3,5957.3,6178.5,37556.660162,52443.339838,37556.660162
5057.3,5957.3,6357.3,36785.584,53214.416,36785.584
5057.3,6178.5,6357.3,52650.064,59469.93599999999,52650.064
5378.5,5657.3,5957.3,28401.515,-521.5149999999812,28401.515
5378.5,5657.3,6178.5,-2392.519838000004,30272.519838000022,-2392.519838000004
5378.5,5657.3,6357.3,-3163.5959999999995,31043.59600000002,-3163.5959999999995
5378.5,5957.3,6178.5,20412.670161999995,37467.32983800002,20412.670161999995
5378.5,5957.3,6357.3,19641.594,38238.40600000002,19641.594
5378.5,6178.5,6357.3,35506.074,44493.926,35506.074
5657.3,5957.3,6178.5,6586.546462000005,23413.453537999994,6586.546462000005
5657.3,5957.3,6357.3,5815.470299999998,24184.529700000003,5815.470299999998
5657.3,6178.5,6357.3,21679.950299999997,30440.04969999999,21679.950299999997
5957.3,6178.5,6357.3,32984.899,-10864.899000000016,32984.899
