Long Strike,Short Strike,Net Cost,Max Profit,Max Loss,Cost-to-Profit Ratio
4778.5,4500,6397.45517,21452.54483,6397.45517,0.2982142781052984
5057.3,4500,14868.603169999998,40861.39683000001,14868.603169999998,0.3638789743742589
5378.5,4500,28785.48917,59064.51083,28785.48917,0.48735676915788995
5657.3,4500,45324.39717,70405.60283000002,45324.39717,0.6437612256433539
5957.3,4500,65493.79717,80236.20283000002,65493.79717,0.8162624209518562
6178.5,4500,80620.84717,87229.15283,80620.84717,0.9242420057331192
6357.3,4500,100790.24717,84939.75283000003,100790.24717,1.186608670403403
5057.3,4778.5,9277.3655,18602.63450000002,9277.3655,0.49871245387313234
5378.5,4778.5,23194.2515,36805.7485,23194.2515,0.63018013341041
5657.3,4778.5,39733.1595,48146.84050000001,39733.1595,0.8252495716723093
5957.3,4778.5,59902.5595,57977.44050000001,59902.5595,1.0332046220633004
6178.5,4778.5,75029.6095,64970.390499999994,75029.6095,1.1548277441860229
6357.3,4778.5,95199.0095,62680.99050000003,95199.0095,1.518785978661265
5378.5,5057.3,15014.129,17105.87099999998,15014.129,0.8777178899571976
5657.3,5057.3,31553.037,28446.963,31553.037,1.1091882462110279
5957.3,5057.3,51722.437,38277.563,51722.437,1.3512468649062115
6178.5,5057.3,66849.487,45270.51299999999,66849.487,1.4766673176422809
6357.3,5057.3,87018.887,42981.113,87018.887,2.024584309857216
5657.3,5378.5,18167.382,9712.618000000017,18167.382,1.8704927960720756
5957.3,5378.5,38336.782,19543.218000000015,38336.782,1.961641219987413
6178.5,5378.5,53463.832,26536.167999999998,53463.832,2.0147532982154774
6357.3,5378.5,73633.232,24246.76800000001,73633.232,3.0368266813952265
5957.3,5657.3,22075.69,7924.310000000001,22075.69,2.7858185760022
6178.5,5657.3,37202.74,14917.259999999987,37202.74,2.4939392354896293
6357.3,5657.3,57372.14,12627.86,57372.14,4.543298706194082
6178.5,5957.3,19156.894,2963.1059999999816,19156.894,6.465139620384866
6357.3,5957.3,39326.294,673.7059999999983,39326.294,58.37307965195516
6357.3,6178.5,23655.162350000002,-5775.162349999984,23655.162350000002,4.096016859162421
