Long Strike,Short Strike,Net Credit,Max Profit,Max Loss,Cost-to-Profit Ratio
4778.5,4500,6313.071510000007,6313.071510000007,21536.92848999999,1
5057.3,4500,33712.02,33712.02,22017.980000000018,1
5378.5,4500,50568.03,50568.03,37281.97,1
5657.3,4500,64161.9063,64161.9063,51568.09370000001,1
5957.3,4500,53046.855,53046.855,92683.14500000002,1
6178.5,4500,83323.620162,83323.620162,84526.379838,1
6357.3,4500,84081.744,84081.744,101648.25600000002,1
5057.3,4778.5,3470.355,3470.355,24409.64500000002,1
5378.5,4778.5,20326.365,20326.365,39673.634999999995,1
5657.3,4778.5,33920.2413,33920.2413,53959.75870000001,1
5957.3,4778.5,22805.19,22805.19,95074.81000000001,1
6178.5,4778.5,53081.955162,53081.955162,86918.044838,1
6357.3,4778.5,53840.079,53840.079,104039.92100000003,1
5378.5,5057.3,13385.655,13385.655,18734.34499999998,1
5657.3,5057.3,26979.531300000002,26979.531300000002,33020.4687,1
5957.3,5057.3,15864.48,15864.48,74135.52,1
6178.5,5057.3,46141.245162,46141.245162,65978.754838,1
6357.3,5057.3,46899.369,46899.369,83100.631,1
5657.3,5378.5,-5334.806299999998,-5334.806299999998,33214.80630000002,1
5957.3,5378.5,-16639.755,-16639.755,74519.75500000002,1
6178.5,5378.5,13916.520161999997,13916.520161999997,66083.479838,1
6357.3,5378.5,14674.644,14674.644,83205.35600000001,1
5957.3,5657.3,-12101.64,-12101.64,42101.64,1
6178.5,5657.3,18378.405162,18378.405162,33741.59483799999,1
6357.3,5657.3,19136.529,19136.529,50863.471000000005,1
6178.5,5957.3,6975.810161999999,6975.810161999999,15144.189837999984,1
6357.3,5957.3,7733.934,7733.934,32266.066,1
6357.3,6178.5,-201.694,-201.694,18081.694000000018,1
