Long Strike,Short Strike,Net Credit,Max Profit,Max Loss,Cost-to-Profit Ratio
4778.5,4500,4472.828490000007,4472.828490000007,23377.171509999993,0
5057.3,4500,32339.88,32339.88,23390.120000000014,0
5378.5,4500,49483.87,49483.87,38366.13,0
5657.3,4500,63309.9937,63309.9937,52420.006300000015,0
5957.3,4500,52005.045,52005.045,93724.95500000003,0
6178.5,4500,82799.079838,82799.079838,85050.920162,0
6357.3,4500,83570.156,83570.156,102159.84400000003,0
5057.3,4778.5,2098.215,2098.215,25781.785000000018,0
5378.5,4778.5,19242.205,19242.205,40757.795,0
5657.3,4778.5,33068.3287,33068.3287,54811.671300000016,0
5957.3,4778.5,21763.38,21763.38,96116.62000000001,0
6178.5,4778.5,52557.414838000004,52557.414838000004,87442.585162,0
6357.3,4778.5,53328.491,53328.491,104551.50900000002,0
5378.5,5057.3,12301.494999999999,12301.494999999999,19818.504999999983,0
5657.3,5057.3,26127.618700000003,26127.618700000003,33872.381299999994,0
5957.3,5057.3,14822.67,14822.67,75177.33,0
6178.5,5057.3,45616.704838000005,45616.704838000005,66503.29516199998,0
6357.3,5057.3,46387.781,46387.781,83612.219,0
6178.5,5378.5,13391.979837999997,13391.979837999997,66608.020162,0
6357.3,5378.5,14163.056,14163.056,83716.94400000002,0
6178.5,5657.3,17853.864837999998,17853.864837999998,34266.13516199999,0
6357.3,5657.3,18624.941,18624.941,51375.059,0
6178.5,5957.3,6451.269837999998,6451.269837999998,15668.730161999983,0
6357.3,5957.3,7222.346,7222.346,32777.654,0
