Strike 1,Strike 2,Strike 3,Strike 4,net_cost,max_profit,max_loss
4500,4778.5,5057.3,5378.5,29972.97,-2092.969999999983,29972.97
4500,4778.5,5057.3,5657.3,16146.846299999997,11733.15370000002,16146.846299999997
4500,4778.5,5057.3,5957.3,27451.795,428.20500000001994,27451.795
4500,4778.5,5057.3,6178.5,-3342.2398379999986,31222.239838000016,-3342.2398379999986
4500,4778.5,5057.3,6357.3,-4113.316,31993.316000000017,-4113.316
4500,4778.5,5378.5,5657.3,48371.5713,11628.428699999997,48371.5713
4500,4778.5,5378.5,5957.3,59676.520000000004,323.4799999999959,59676.520000000004
4500,4778.5,5378.5,6178.5,28882.485162000004,31117.514837999996,28882.485162000004
4500,4778.5,5378.5,6357.3,28111.409,31888.591,28111.409
4500,4778.5,5657.3,5957.3,55214.635,32665.365000000013,55214.635
4500,4778.5,5657.3,6178.5,24420.600162000002,63459.39983800001,24420.600162000002
4500,4778.5,5657.3,6357.3,23649.524,64230.47600000001,23649.524
4500,4778.5,5957.3,6178.5,35823.195161999996,82056.80483800001,35823.195161999996
4500,4778.5,5957.3,6357.3,35052.119,82827.88100000002,35052.119
4500,4778.5,6178.5,6357.3,42984.359,97015.641,42984.359
4500,5057.3,5378.5,5657.3,55312.2813,-23192.28130000002,55312.2813
4500,5057.3,5378.5,5957.3,66617.23,-34497.23000000001,66617.23
4500,5057.3,5378.5,6178.5,35823.195161999996,-3703.1951620000145,35823.195161999996
4500,5057.3,5378.5,6357.3,35052.119,-2932.119000000017,35052.119
4500,5057.3,5657.3,5957.3,62155.345,-2155.345000000001,62155.345
4500,5057.3,5657.3,6178.5,31361.310162,28638.689838,31361.310162
4500,5057.3,5657.3,6357.3,30590.234,29409.766,30590.234
4500,5057.3,5957.3,6178.5,42763.905161999995,47236.094838000005,42763.905161999995
4500,5057.3,5957.3,6357.3,41992.829,48007.171,41992.829
4500,5057.3,6178.5,6357.3,49925.069,62194.93099999998,49925.069
4500,5378.5,5657.3,5957.3,94380.07,-66500.06999999999,94380.07
4500,5378.5,5657.3,6178.5,63586.035162,-35706.035161999986,63586.035162
4500,5378.5,5657.3,6357.3,62814.959,-34934.95899999999,62814.959
4500,5378.5,5957.3,6178.5,74988.63016199999,-17108.630161999972,74988.63016199999
4500,5378.5,5957.3,6357.3,74217.554,-16337.55399999999,74217.554
4500,5378.5,6178.5,6357.3,82149.794,-2149.7939999999944,82149.794
4500,5657.3,5957.3,6178.5,70526.74516199999,-40526.74516199999,70526.74516199999
4500,5657.3,5957.3,6357.3,69755.669,-39755.668999999994,69755.669
4500,5657.3,6178.5,6357.3,77687.909,-25567.909000000014,77687.909
4500,5957.3,6178.5,6357.3,89090.504,-66970.50400000002,89090.504
4778.5,5057.3,5378.5,5657.3,38806.65280999999,-6686.6528100000105,38806.65280999999
4778.5,5057.3,5378.5,5957.3,50111.60150999999,-17991.60151000001,50111.60150999999
4778.5,5057.3,5378.5,6178.5,19317.566671999994,12802.433327999988,19317.566671999994
4778.5,5057.3,5378.5,6357.3,18546.490509999992,13573.50948999999,18546.490509999992
4778.5,5057.3,5657.3,5957.3,45649.71650999999,14350.283490000009,45649.71650999999
4778.5,5057.3,5657.3,6178.5,14855.681671999995,45144.31832800001,14855.681671999995
4778.5,5057.3,5657.3,6357.3,14084.605509999992,45915.394490000006,14084.605509999992
4778.5,5057.3,5957.3,6178.5,26258.276671999993,63741.72332800001,26258.276671999993
4778.5,5057.3,5957.3,6357.3,25487.20050999999,64512.799490000005,25487.20050999999
4778.5,5057.3,6178.5,6357.3,33419.44050999999,78700.55948999999,33419.44050999999
4778.5,5378.5,5657.3,5957.3,77874.44151,-49994.44150999999,77874.44151
4778.5,5378.5,5657.3,6178.5,47080.40667199999,-19200.406671999972,47080.40667199999
4778.5,5378.5,5657.3,6357.3,46309.33050999999,-18429.330509999974,46309.33050999999
4778.5,5378.5,5957.3,6178.5,58483.00167199999,-603.0016719999767,58483.00167199999
4778.5,5378.5,5957.3,6357.3,57711.925509999994,168.0744900000209,57711.925509999994
4778.5,5378.5,6178.5,6357.3,65644.16550999999,14355.834490000008,65644.16550999999
4778.5,5657.3,5957.3,6178.5,54021.11667199999,-24021.11667199999,54021.11667199999
4778.5,5657.3,5957.3,6357.3,53250.04050999999,-23250.04050999999,53250.04050999999
4778.5,5657.3,6178.5,6357.3,61182.28050999999,-9062.280510000004,61182.28050999999
4778.5,5957.3,6178.5,6357.3,72584.87551,-50464.87551000001,72584.87551
5057.3,5378.5,5657.3,5957.3,50007.39,-22127.38999999998,50007.39
5057.3,5378.5,5657.3,6178.5,19213.355162000003,8666.644838000015,19213.355162000003
5057.3,5378.5,5657.3,6357.3,18442.279,9437.72100000002,18442.279
5057.3,5378.5,5957.3,6178.5,30615.950162,27264.049838000014,30615.950162
5057.3,5378.5,5957.3,6357.3,29844.874,28035.126000000015,29844.874
5057.3,5378.5,6178.5,6357.3,37777.114,42222.886,37777.114
5057.3,5657.3,5957.3,6178.5,26154.065162000003,3845.9348379999974,26154.065162000003
5057.3,5657.3,5957.3,6357.3,25382.989,4617.010999999999,25382.989
5057.3,5657.3,6178.5,6357.3,33315.229,18804.770999999986,33315.229
5057.3,5957.3,6178.5,6357.3,44717.824,-22597.82400000002,44717.824
5378.5,5657.3,5957.3,6178.5,9010.075162000001,20989.924838,9010.075162000001
5378.5,5657.3,5957.3,6357.3,8238.999,21761.001,8238.999
5378.5,5657.3,6178.5,6357.3,16171.239,35948.760999999984,16171.239
5378.5,5957.3,6178.5,6357.3,27573.834,-5453.834000000017,27573.834
5657.3,5957.3,6178.5,6357.3,13747.710299999999,8372.289699999983,13747.710299999999
