Long Strike,Short Strike,Net Cost,Max Profit,Max Loss,Cost-to-Profit Ratio
4500,4778.5,42274.465,-14424.464999999997,42274.465,2.930747518192183
4500,5057.3,49215.175,6514.825000000012,49215.175,7.554335688218781
4500,5378.5,81439.9,6410.100000000006,81439.9,12.704934400399358
4500,5657.3,76978.015,38751.985000000015,76978.015,1.986427662995843
4500,5957.3,88380.61,57349.39000000003,88380.61,1.5410906724552773
4500,6178.5,96312.85,71537.15,96312.85,1.3463333386918548
4500,6357.3,101865.418,83864.58200000002,101865.418,1.2146416946309941
4778.5,5057.3,32709.546509999993,-4829.546509999975,32709.546509999993,6.772798738405807
4778.5,5378.5,64934.27150999999,-4934.271509999991,64934.27150999999,13.159849712039884
4778.5,5657.3,60472.38650999999,27407.613490000025,60472.38650999999,2.206408322711644
4778.5,5957.3,71874.98151,46005.01849000002,71874.98151,1.562329151669035
4778.5,6178.5,79807.22151,60192.77849,79807.22151,1.325860402394593
4778.5,6357.3,85359.78951,72520.21049000003,85359.78951,1.1770482867223675
5057.3,5378.5,37067.22,-4947.220000000019,37067.22,7.492535201587933
5057.3,5657.3,32605.335,27394.665,32605.335,1.190207472878387
5057.3,5957.3,44007.93,45992.07,44007.93,0.9568590846204574
5057.3,6178.5,51940.17,60179.82999999999,51940.17,0.8630826973090487
5057.3,6357.3,57492.738,72507.262,57492.738,0.7929238591301379
5378.5,5657.3,15461.345,12418.655000000019,15461.345,1.2450096246332616
5378.5,5957.3,26863.94,31016.060000000016,26863.94,0.8661299984588624
5378.5,6178.5,34796.18,45203.82,34796.18,0.7697619360487675
5378.5,6357.3,40348.748,57531.252000000015,40348.748,0.7013361711648477
5657.3,5957.3,13037.816299999999,16962.1837,13037.816299999999,0.7686402016740331
5657.3,6178.5,20970.056299999997,31149.94369999999,20970.056299999997,0.6731972456181359
5657.3,6357.3,26522.624299999996,43477.375700000004,26522.624299999996,0.610032778496334
5957.3,6178.5,32275.005,-10155.00500000002,32275.005,3.178236249022028
5957.3,6357.3,37827.573,2172.4270000000033,37827.573,17.412586475863144
6178.5,6357.3,7033.538162000002,10846.461838000017,7033.538162000002,0.6484638278409246
